artist_names,track_name,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,popularity
Dua Lipa,Don't Start Now,0.794,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,183290,70.62443104025898
Eminem,The Real Slim Shady,0.949,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,284200,48.71260042395223
Juice WRLD,Lucid Dreams,0.511,-7.23,0,0.2,0.349,0.0,0.34,0.218,239836,56.61355826270625
"Lady Gaga, Bradley Cooper",Shallow,0.577,-6.362,1,0.03,0.371,0.0,0.231,0.331,215733,66.39922157611169
5 Seconds of Summer,Youngblood,0.597,-5.114,0,0.463,0.0169,0.0,0.124,0.152,203418,56.17772913502468
BSW,Yaay,0.789,-4.683,1,0.199,0.417,0.0,0.0772,0.426,199385,63.24040175665432
Mabel,Don't Call Me Up,0.674,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,178480,60.69948195899303
"SAINt JHN, Imanbek",Roses - Imanbek Remix,0.785,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,176219,79.87143893339206
Vance Joy,Riptide,0.484,-6.694,1,0.0379,0.431,0.0,0.151,0.51,204280,44.14667967554915
"Beton.Hofi, Lil Frakk, Krúbi",OFFWHITE,0.774,-8.781,0,0.0816,0.037,1.43e-06,0.116,0.231,244963,52.13141968974092
Ava Max,Sweet but Psycho,0.719,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,187436,69.2888470630985
Ava Max,Kings & Queens,0.638,-4.056,0,0.0407,0.00775,0.0,0.126,0.434,162399,69.32335479569248
ByeAlex és a Slepp,Ájkosz,0.856,-7.049,1,0.214,0.316,0.0,0.133,0.53,127846,62.48513021216863
Linkin Park,In the End,0.556,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,216880,44.028350719256295
Bagossy Brothers Company,Visszajövök,0.619,-3.89,1,0.029,0.0352,7.21e-06,0.0886,0.343,234000,51.92607730472838
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),0.808,-5.26,0,0.342,0.145,0.0,0.292,0.829,210800,63.06391749403903
"Young Fly, DESH",24 karát,0.813,-6.768,1,0.157,0.245,0.0,0.234,0.537,128582,60.68518096985258
Tones And I,Dance Monkey,0.826,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,209755,84.7611699128571
Billie Eilish,bad guy,0.701,-10.965,1,0.375,0.328,0.13,0.1,0.562,194088,81.39703827527907
Imagine Dragons,Bones,0.773,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,165265,66.39179425083773
Regard,Ride It,0.88,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,157606,66.96577337838936
"Rácz Gergő, Orsovai Reni",Mostantól,0.747,-6.887,0,0.0453,0.153,0.0,0.0966,0.469,211200,65.63867754487073
Travis Scott,goosebumps,0.841,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,243837,53.81287444556973
Panic! At The Disco,High Hopes,0.579,-2.729,1,0.0618,0.193,0.0,0.064,0.681,190947,66.01812309493471
Tiësto,The Business,0.798,-7.079,0,0.232,0.414,0.0192,0.112,0.235,164000,75.14547933591791
Azahriah,aight,0.649,-7.238,1,0.0413,0.272,0.0,0.139,0.365,126000,56.72741694522091
"Azahriah, DESH",El Barto,0.787,-7.162,0,0.0544,0.343,9.2e-06,0.219,0.785,178714,64.98794678693875
"R3HAB, A Touch Of Class",All Around The World (La La La),0.733,-5.03,0,0.033,0.479,0.0645,0.105,0.52,147840,53.81278060985299
Harry Styles,As It Was,0.52,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,167303,73.81631324620936
Travis Scott,SICKO MODE,0.834,-3.714,1,0.222,0.00513,0.0,0.124,0.446,312820,51.65939991047401
"Azahriah, DESH",Tisztán iszom,0.446,-6.945,0,0.0439,0.644,0.0,0.199,0.894,180750,72.75347726939624
"Azahriah, DESH",Pullup,0.726,-8.655,1,0.112,0.106,0.0,0.0923,0.289,137000,88.16228107584894
"Azahriah, DESH",Miafasz,0.696,-6.704,0,0.217,0.368,0.0,0.111,0.506,193543,81.70377397546906
Alec Benjamin,Let Me Down Slowly,0.652,-5.714,0,0.0318,0.74,0.0,0.124,0.483,169354,53.43213867635042
"Manuel, T. Danny",Talán,0.64,-5.137,1,0.0253,0.26,0.0,0.132,0.148,190567,64.53342710832034
OneRepublic,I Ain't Worried,0.704,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,148486,66.8843007252429
"VALMAR, Bruno X Spacc, Manuel",Visz a vérem,0.818,-5.189,1,0.0697,0.292,0.0,0.133,0.343,187440,56.46654019914526
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,0.796,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,202735,65.62785531647103
"Azahriah, DESH",Habibi,0.729,-6.072,1,0.181,0.283,1.02e-06,0.0765,0.594,161083,72.43675885857648
"VALMAR, Nemazalány, Sofi",Álmatlan esték,0.799,-2.776,1,0.0571,0.248,0.0,0.11,0.793,183686,60.42869362819941
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),0.702,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,203064,69.1732467379346
"Topic, A7S",Breaking Me,0.789,-5.652,0,0.218,0.223,0.0,0.129,0.664,166794,75.10334129796455
"Shawn Mendes, Camila Cabello",Señorita,0.759,-6.049,0,0.0289,0.0379,0.0,0.0828,0.75,190800,78.26111320079603
Arctic Monkeys,Do I Wanna Know?,0.548,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,272394,40.77801349623135
"Majka, Horváth Tamás",Meztelen,0.754,-5.286,0,0.171,0.0908,0.0,0.0658,0.444,248000,54.242209173665685
"Don Omar, Lucenzo",Danza Kuduro,0.4,-4.89,1,0.279,0.083,0.0,0.0503,0.871,198773,47.54356091578639
Pogány Induló,Gettó csirke,0.593,-13.459,1,0.862,0.456,0.0,0.359,0.582,136286,64.64652589744122
Bagossy Brothers Company,Valahol Itt,0.682,-4.142,1,0.0285,0.0106,0.0,0.126,0.29,228375,50.811828322693145
The Weeknd,Save Your Tears,0.679,-5.487,1,0.0309,0.0212,1.21e-05,0.543,0.644,215627,56.90857502616993
OneRepublic,Counting Stars,0.663,-4.972,0,0.0383,0.0654,0.0,0.118,0.474,257267,38.99666039288171
Farruko,Pepas,0.762,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,287120,67.22271549164601
XXXTENTACION,SAD!,0.74,-4.88,1,0.145,0.258,0.00372,0.123,0.473,166606,45.497857150814966
"Coolio, L.V.",Gangsta's Paradise,0.647,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,240693,40.73220957293297
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,0.76,-5.574,1,0.0467,0.552,0.0,0.0703,0.913,158040,60.928814824371386
"Joel Corry, MNEK",Head & Heart (feat. MNEK),0.734,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,166028,74.89232465806
"Dzsúdló, Azahriah",Várnék,0.682,-4.227,1,0.0627,0.405,0.0,0.125,0.69,187105,84.01478995298648
Carson Coma,Immunissá válunk,0.538,-9.567,0,0.08,0.00524,0.000623,0.0732,0.448,200813,62.56205273518174
Azahriah,figyelj,0.683,-7.846,1,0.036,0.124,3.14e-06,0.159,0.234,164291,80.44876053017964
Azahriah,four moods,0.538,-8.325,0,0.217,0.37,1.06e-06,0.13,0.198,203529,90.51167247504772
Eminem,Lose Yourself,0.686,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,322227,40.88366555478476
Jason Derulo,Take You Dancing,0.789,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,190306,60.75278423381522
"Beton.Hofi, Hundred Sins",BAGIRA,0.637,-5.424,0,0.363,0.196,0.0,0.75,0.523,123757,94.32469856985318
DESH,Kukásautó,0.774,-9.123,0,0.0659,0.478,0.0,0.14,0.488,195698,63.525963794490494
"Tiësto, Ava Max",The Motto,0.754,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,164819,67.42549141886916
"ByeAlex és a Slepp, Hiro",Így Hagysz El,0.834,-5.373,1,0.0478,0.18,0.0,0.145,0.886,212571,55.704989169034334
ekhoe,Costa Rica,0.915,-7.738,0,0.41,0.16,0.0,0.0892,0.383,141148,70.3120829675135
4s Street,Mesélek a bornak,0.661,-7.357,0,0.0419,0.912,7.87e-06,0.114,0.226,217000,57.91364737253659
"David Guetta, Bebe Rexha",I'm Good (Blue),0.561,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,175238,78.68487280969894
Lewis Capaldi,Before You Go,0.459,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,215107,56.25899516001775
Arctic Monkeys,I Wanna Be Yours,0.464,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,183956,46.476581434390525
"MEDUZA, Becky Hill, Goodboys",Lose Control,0.598,-8.659,0,0.0415,0.129,0.0,0.14,0.53,168387,62.2271683381406
LMEN PRALA,Polizei,0.877,-6.716,0,0.0704,0.269,4.79e-05,0.0889,0.604,154286,62.74437173715694
Bruno X Spacc,Hátmasszázs,0.768,-9.803,1,0.0554,0.645,3.7e-06,0.142,0.421,137161,56.39733534571885
"Beton.Hofi, ajsa luna, Hundred Sins, Beatrick",TISZALÖK,0.731,-5.059,1,0.167,0.138,2.29e-06,0.109,0.608,156195,73.01047028629215
"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,0.728,-4.424,0,0.266,0.237,0.0,0.434,0.555,173381,72.1089294144724
Ariana Grande,7 rings,0.725,-10.744,0,0.323,0.578,0.0,0.0884,0.319,178640,66.52044675833399
Tóth Andi,Néztek,0.867,-10.35,0,0.426,0.18,0.0,0.156,0.551,147165,64.43063374998019
Konyha,Százszor Visszajátszott - Radio Edit,0.67,-6.692,1,0.0343,0.301,0.0,0.14,0.419,188593,38.88955257630265
"Dynoro, Gigi D'Agostino",In My Mind,0.694,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,184560,58.760000294375416
"Azahriah, DESH",RÉT,0.713,-7.006,1,0.0638,0.418,0.0,0.116,0.634,190976,73.24362123336405
"Azahriah, DESH",Felednéd,0.734,-5.662,1,0.0639,0.187,0.000155,0.0884,0.566,181531,60.067498042744205
"Post Malone, 21 Savage",rockstar (feat. 21 Savage),0.585,-6.136,0,0.0713,0.124,7.75e-05,0.131,0.129,218147,53.32280072036232
"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.824,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,169153,73.35545588310961
"ByeAlex és a Slepp, Hiro",Hullik,0.865,-6.226,1,0.0971,0.544,0.000918,0.0895,0.564,213913,70.7500148282786
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),0.591,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,141806,75.9110720422435
Follow The Flow,A holnap küszöbén,0.667,-5.004,0,0.0574,0.271,0.0,0.0539,0.868,197633,44.81427859265021
Ed Sheeran,Shivers,0.788,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,207853,59.49256413599908
"MEDUZA, Goodboys",Piece Of Your Heart,0.677,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,152913,59.68817179765243
"DESH, Azahriah",Papa,0.827,-7.803,0,0.0608,0.296,0.000259,0.114,0.42,140481,82.2204961456144
Travis Scott,HIGHEST IN THE ROOM,0.598,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,175721,62.10221862591824
Måneskin,I WANNA BE YOUR SLAVE,0.75,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,173347,68.06148441343353
VALMAR,SZÍNVAK,0.611,-4.695,0,0.038,0.053,0.0,0.288,0.803,198279,69.53729039659626
Krúbi,PestiEst,0.736,-6.431,0,0.255,0.0411,1.19e-06,0.357,0.477,212760,41.94843276795892
"Ofenbach, Quarterhead, Norma Jean Martine",Head Shoulders Knees & Toes (feat. Norma Jean Martine),0.798,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,156960,64.14207304837235
"The Weeknd, Daft Punk",Starboy,0.679,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,230453,44.24742941557236
"VALMAR, Szikora Róbert",Úristen,0.707,-2.177,1,0.0549,0.13,0.0,0.323,0.966,194629,74.37461064118774
Arctic Monkeys,Why'd You Only Call Me When You're High?,0.691,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,161124,37.49119250847049
"24kGoldn, iann dior",Mood (feat. iann dior),0.7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,140526,73.41815461202937
Post Malone,Better Now,0.674,-5.804,1,0.0408,0.331,0.0,0.135,0.34,231267,50.30750728328324
Azahriah,téveszmék,0.709,-7.585,0,0.0815,0.194,0.0,0.11,0.566,210134,66.4031782901892
blackbear,hot girl bummer,0.778,-7.109,0,0.0776,0.128,0.0,0.399,0.678,185093,52.75417947667837
"Marshmello, Bastille",Happier,0.687,-2.749,1,0.0452,0.191,0.0,0.167,0.671,214290,58.18999600216213
"ATB, Topic, A7S",Your Love (9PM),0.669,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,150053,65.89793502948842
Ava Max,So Am I,0.682,-4.67,1,0.0435,0.0737,0.0,0.353,0.607,183027,51.95596771822039
"James Hype, Miggy Dela Rosa",Ferrari,0.847,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,186662,67.17220713196951
Matt Sassari,Give It To Me - Full Vocal Mix,0.874,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,102861,50.04787235864015
"Majka, Curtis, Nika",A csúcson túl,0.625,-6.689,0,0.0375,0.0055,3.48e-05,0.318,0.343,194765,51.3396165880949
Ed Sheeran,Bad Habits,0.807,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,230747,74.7472018463254
Dua Lipa,Physical,0.647,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,193829,58.44787191647423
Ava Max,My Head & My Heart,0.614,-3.709,0,0.07,0.0697,0.0,0.121,0.436,174760,52.04254195404903
"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),0.799,-6.153,0,0.079,0.256,0.0,0.111,0.471,195429,67.54077282997335
Imagine Dragons,Thunder,0.604,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,187147,44.6418387442492
Juice WRLD,Robbery,0.708,-5.179,1,0.0442,0.342,0.0,0.222,0.535,240527,45.48113044374993
"Kygo, Whitney Houston",Higher Love,0.693,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,228267,50.21490426323035
"Imanbek, BYOR",Belly Dancer,0.845,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,151475,55.98497982731796
"Tiësto, Jonas Blue, Rita Ora",Ritual,0.647,-4.389,0,0.0552,0.157,0.0,0.0844,0.767,198996,49.301825293812655
Majka,Mindenki táncol /90'/,0.789,-6.286,0,0.174,0.0945,2.17e-06,0.171,0.34,323000,41.08666017010046
"MEDUZA, Dermot Kennedy",Paradise (feat. Dermot Kennedy),0.632,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,167903,66.63150092211417
"Nea, Felix Jaehn",Some Say - Felix Jaehn Remix,0.682,-5.591,1,0.0397,0.406,0.0,0.174,0.637,186878,59.82298200825794
Bruno X Spacc,Aha-Aha,0.859,-5.355,1,0.047,0.43,0.0449,0.0726,0.524,132506,71.29950965908046
"ByeAlex és a Slepp, T. Danny",voltmárkicsi,0.842,-6.748,1,0.0662,0.181,0.0,0.0981,0.881,154500,65.89396458330336
Follow The Flow,Anyám mondta,0.708,-7.002,0,0.0347,0.0668,0.0,0.16,0.686,236813,51.91569275697907
Maroon 5,Memories,0.764,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,189486,62.62070339087754
Post Malone,Wow.,0.833,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,149520,61.317373892176505
Nks,Vegyetek jót ha tudtok,0.678,-3.914,1,0.331,0.283,0.0,0.302,0.884,269333,40.85009455904012
BSW,Mióta elhagytál - Nem vagyok álmos,0.779,-7.35,1,0.0537,0.0423,0.0,0.126,0.293,212469,72.7372860673061
Post Malone,Circles,0.704,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,214907,65.68049183657216
XXXTENTACION,Revenge,0.746,-16.169,0,0.259,0.782,0.00203,0.106,0.18,120027,38.30035690757677
Beton.Hofi,DOHÁNYBOLT,0.663,-8.844,1,0.0866,0.263,2.82e-05,0.466,0.691,176541,50.73230099512635
Billie Eilish,when the party's over,0.498,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,199931,55.56306966201602
OneRepublic,Rescue Me,0.759,-7.737,1,0.0433,0.156,0.0,0.694,0.64,158900,56.32822832170845
"Tiësto, Tate McRae",10:35,0.696,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,172253,55.92033120522064
Halsey,Without Me,0.752,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,201661,54.65940204265782
Tiësto,Lay Low,0.555,-4.424,0,0.213,0.0645,8.18e-05,0.349,0.42,153443,60.81636072133132
Axwell /\ Ingrosso,More Than You Know,0.646,-4.973,0,0.034,0.0275,0.0,0.312,0.571,203000,39.186813666193984
"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),0.798,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,219947,67.4178341387649
Jonas Brothers,Sucker,0.842,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,181040,62.77489348749761
Imagine Dragons,Natural,0.704,-6.112,1,0.041,0.217,0.0,0.0812,0.22,189467,47.12252737392966
DESH,Malibu,0.837,-7.508,0,0.0684,0.129,0.00188,0.0979,0.681,138713,67.85953707257589
Trevor Daniel,Falling,0.785,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,159382,64.56866948356648
Ava Max,Salt,0.693,-3.242,1,0.0623,0.131,0.0,0.073,0.743,180283,52.86965730678807
Kowalsky Meg A Vega,Amilyen Hülye Vagy Én Úgy Szeretlek,0.813,-5.174,1,0.033,0.185,0.0,0.102,0.853,254253,36.71033609505172
Roddy Ricch,The Box,0.896,-6.687,0,0.0559,0.104,0.0,0.79,0.642,196653,68.1337191866929
Dennis Lloyd,Nevermind,0.6,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,156600,45.00058185966803
"Robin Schulz, Alida",In Your Eyes (feat. Alida),0.57,-5.888,0,0.0716,0.172,1.04e-06,0.0768,0.461,208222,50.3247123627696
Miley Cyrus,Flowers,0.707,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,200455,78.10614487759761
Bagossy Brothers Company,Van Egy Ház,0.489,-5.831,0,0.0643,0.00203,0.0,0.336,0.442,221314,36.79863319444587
Tate McRae,you broke me first,0.667,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,169266,59.44582522209608
Anne-Marie,2002,0.697,-2.881,0,0.117,0.0372,0.0,0.137,0.603,186987,45.615376501957385
Lil Mosey,Blueberry Faygo,0.774,-7.909,1,0.0383,0.207,0.0,0.132,0.349,162547,61.90279803928898
"Lotfi Begi, Burai",Háborgó mélység 2,0.79,-4.97,0,0.0502,0.369,3.62e-06,0.0927,0.54,187119,59.57676619160458
"Ofenbach, Lagique",Wasted Love (feat. Lagique),0.734,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,139563,60.42824251233081
Queen,Bohemian Rhapsody - Remastered 2011,0.411,-9.928,0,0.0511,0.271,0.0,0.3,0.226,354320,52.263493584498335
"Clean Bandit, Demi Lovato",Solo (feat. Demi Lovato),0.74,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,222707,49.643186278072434
twocolors,Lovefool,0.677,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,190488,55.8438594026789
"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),0.64,-8.113,0,0.187,0.124,0.0,0.0802,0.548,197867,62.96919500966983
Ed Sheeran,Shape of You,0.825,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,233713,42.24841478475472
"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,0.878,-5.56,1,0.102,0.0533,0.0,0.113,0.639,157067,70.20337886504062
Kiss Kevin,Hideg az éj,0.629,-7.04,0,0.0735,0.172,0.0,0.126,0.677,150000,72.25278224241374
Follow The Flow,Porszem,0.814,-5.863,1,0.0564,0.12,0.0,0.193,0.878,211627,45.14645756611705
Dzsúdló,Virágok,0.764,-5.561,0,0.173,0.426,2.17e-06,0.0793,0.537,183529,44.21948302603411
Azahriah,introvertált dal,0.652,-4.849,1,0.0606,0.126,0.0,0.109,0.823,169841,100.0
"T. Danny, Manuel",Yoga,0.899,-5.592,0,0.072,0.251,0.0,0.129,0.799,210612,63.74211089398648
"Pogány Induló, ANUBII$",Afro Beat,0.858,-12.827,0,0.108,0.0481,0.353,0.0646,0.0988,192000,80.82148986722895
Arizona Zervas,ROXANNE,0.621,-5.616,0,0.148,0.0522,0.0,0.46,0.457,163636,59.57737999969389
"Kygo, Sandro Cavazza",Happy Now,0.693,-6.998,1,0.0801,0.374,0.0,0.252,0.492,211362,44.71953767695355
Elley Duhé,MIDDLE OF THE NIGHT,0.41,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,184448,56.098077258112255
Azahriah,szosziazi,0.771,-7.929,0,0.19,0.135,0.000587,0.12,0.406,206038,86.3713985705891
"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),0.746,-7.956,1,0.164,0.247,0.0,0.101,0.497,181733,68.2383199959895
"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.661,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,163805,55.07209398660613
Olivia Rodrigo,drivers license,0.585,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,242014,61.49247334285178
"BSW, LMEN PRALA, T. Danny",Mokambo Gang,0.82,-6.51,0,0.174,0.349,0.0,0.139,0.546,230769,59.55225928176465
Lil Nas X,MONTERO (Call Me By Your Name),0.61,-6.682,0,0.152,0.297,0.0,0.384,0.758,137876,76.11487572245991
Eminem,Mockingbird,0.637,-3.798,1,0.266,0.209,0.0,0.156,0.254,250760,47.94757610655503
"Kain, ekhoe, Pogány Induló",Latyo és haze,0.824,-8.997,1,0.143,0.0725,0.0,0.129,0.419,153650,72.43357171314356
"KKevin, T. Danny, GINOKA",Hazudtál,0.817,-8.108,1,0.0687,0.0782,0.0,0.134,0.72,171892,43.40398906530488
"T. Danny, Curtis",Faszagyerek,0.811,-6.233,0,0.281,0.389,4.71e-06,0.226,0.558,186977,54.27642868416163
Dua Lipa,Break My Heart,0.73,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,221820,59.2242529641906
Carson Coma,Pók,0.429,-6.866,1,0.0689,0.0266,0.0,0.267,0.545,169658,46.66412790217814
OneRepublic,Run,0.682,-8.173,0,0.0381,0.326,0.0,0.148,0.673,169011,53.36675551834448
Azahriah,rút,0.782,-5.304,0,0.124,0.146,4.18e-05,0.103,0.9,164167,53.179883888482735
Masked Wolf,Astronaut In The Ocean,0.778,-6.865,0,0.0913,0.175,0.0,0.15,0.472,132780,64.33967289341999
Lil Tecca,Ransom,0.745,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,131248,50.11972988004739
XXXTENTACION,Jocelyn Flores,0.872,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,119133,35.31036057045252
"Lauv, Troye Sivan",i'm so tired...,0.599,-7.058,1,0.203,0.176,0.0,0.242,0.534,162583,47.09866638334137
Azahriah,Okari,0.561,-9.737,0,0.196,0.436,0.0,0.108,0.48,249672,68.20706155262262
Twenty One Pilots,Stressed Out,0.734,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,202333,34.6825428384421
